validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1000,1,0.0,4.9,0,0,0,0,27,5.819997750222683e-05,5.819997750222683e-05,59.54540820000693,61.54904279997572,61.54904279997572,62.181640599970706,62.181640599970706,62.700244200008456,315,45,62.700244200008456,62.700244200008456,62.700244200008456,62.700244200008456,62.700244200008456,62.700244200008456,62.700244200008456,62.700244200008456,62.700244200008456,63.04927560000215,63.04927560000215,63.04927560000215,63.04927560000215,63.04927560000215,63.04927560000215,63.04927560000215,63.04927560000215,63.04927560000215,23,0,,,63.04927560000215,63.256406800006516,1000,63.256406800006516,1000,1000,1000,1000,0,num_3,0.4441363000078127,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,3.7,6.1,1,0,1,1,6,,,,,63.71665799996117,64.36709159996826,64.36709159996826,64.85172719997354,45,45,64.85172719997354,64.85172719997354,64.85172719997354,64.85172719997354,64.85172719997354,64.85172719997354,64.85172719997354,64.85172719997354,64.85172719997354,65.21805769996718,65.21805769996718,65.21805769996718,65.21805769996718,65.21805769996718,65.21805769996718,65.21805769996718,65.21805769996718,65.21805769996718,23,0,,,65.21805769996718,65.41823640000075,6.1,65.41823640000075,0,6.1,1,0,1000,num_1,0.4576736000017263,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,0.0,3.7,0,0,2,2,2,,,,,65.90222749998793,66.55275689996779,66.55275689996779,67.03721039998345,315,45,67.03721039998345,67.03721039998345,67.03721039998345,67.03721039998345,67.03721039998345,67.03721039998345,67.03721039998345,67.03721039998345,67.03721039998345,67.40365260001272,67.40365260001272,67.40365260001272,67.40365260001272,67.40365260001272,67.40365260001272,67.40365260001272,67.40365260001272,67.40365260001272,23,0,,,67.40365260001272,67.60356590000447,0.0,67.60356590000447,1,0.0,0,0,1000,num_4,0.44091710000066087,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1000,1,4.9,4.9,1,0,3,3,85,,,,,68.07092719996581,68.7214937999961,68.7214937999961,69.20587100001285,45,315,69.20587100001285,69.20587100001285,69.20587100001285,69.20587100001285,69.20587100001285,69.20587100001285,69.20587100001285,69.20587100001285,69.20587100001285,69.57244720001472,69.57244720001472,69.57244720001472,69.57244720001472,69.57244720001472,69.57244720001472,69.57244720001472,69.57244720001472,69.57244720001472,10,2,"[0.0012101000174880028, 0.1502129000145942]","[0.13360340002691373, 0.23377600003732368]",69.57244720001472,69.77493339998182,1000,69.77493339998182,1000,1000,1000,1000,0,num_3,0.5894738999777474,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1000,1,0.0,4.9,1,0,4,4,73,,,,,70.38996070000576,71.04060979996575,71.04060979996575,71.54171879997011,45,315,71.54171879997011,71.54171879997011,71.54171879997011,71.54171879997011,71.54171879997011,71.54171879997011,71.54171879997011,71.54171879997011,71.54171879997011,71.89142249996075,71.89142249996075,71.89142249996075,71.89142249996075,71.89142249996075,71.89142249996075,71.89142249996075,71.89142249996075,71.89142249996075,14,2,"[0.0012632000143639743, 0.11687590001383796]","[0.10006690002046525, 0.15029020002111793]",71.89142249996075,72.09335099998862,1000,72.10837809997611,1000,1000,1000,1000,0,num_3,0.5113768000155687,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,0.0,6.1,0,0,5,5,57,,,,,72.64212279999629,73.29280489997473,73.29280489997473,73.77729080000427,315,45,73.77729080000427,73.77729080000427,73.77729080000427,73.77729080000427,73.77729080000427,73.77729080000427,73.77729080000427,73.77729080000427,73.77729080000427,74.14369499997701,74.14369499997701,74.14369499997701,74.14369499997701,74.14369499997701,74.14369499997701,74.14369499997701,74.14369499997701,74.14369499997701,2,2,"[0.00119859998812899, 0.3172743999748491]","[0.2838278000126593, 0.36718980001751333]",74.14369499997701,74.34373929997673,0.0,74.34373929997673,0,0.0,0,1,1000,num_1,0.43717449996620417,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,6.1,0.0,1,0,6,6,38,,,,,74.81089879997307,75.4616182000027,75.4616182000027,75.9460716000176,45,315,75.9460716000176,75.9460716000176,75.9460716000176,75.9460716000176,75.9460716000176,75.9460716000176,75.9460716000176,75.9460716000176,75.9460716000176,76.312318900018,76.312318900018,76.312318900018,76.312318900018,76.312318900018,76.312318900018,76.312318900018,76.312318900018,76.312318900018,23,0,,,76.312318900018,76.51268159999745,0.0,76.51268159999745,1,0.0,0,0,1000,num_4,0.4276608999934979,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
0,0,0.0,0.0,0,0,7,7,67,,,,,76.96299590001581,77.61387349996949,77.61387349996949,78.09824600000866,315,45,78.09824600000866,78.09824600000866,78.09824600000866,78.09824600000866,78.09824600000866,78.09824600000866,78.09824600000866,78.09824600000866,78.09824600000866,78.46457349997945,78.46457349997945,78.46457349997945,78.46457349997945,78.46457349997945,78.46457349997945,78.46457349997945,78.46457349997945,78.46457349997945,23,0,,,78.46457349997945,78.66486419999273,0.0,78.66486419999273,0,0.0,0,1,1000,num_1,0.38701760000549257,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1000,1,4.9,4.9,1,0,8,8,26,,,,,79.08177290001186,79.73260180000216,79.73260180000216,80.21678239997709,315,315,80.21678239997709,80.21678239997709,80.21678239997709,80.21678239997709,80.21678239997709,80.21678239997709,80.21678239997709,80.21678239997709,80.21678239997709,80.58348460000707,80.58348460000707,80.58348460000707,80.58348460000707,80.58348460000707,80.58348460000707,80.58348460000707,80.58348460000707,80.58348460000707,23,0,,,80.58348460000707,80.78540509997401,1000,80.78540509997401,1000,1000,1000,1000,0,num_3,0.578491699998267,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,4.9,0.0,0,0,9,9,87,,,,,81.38409780000802,82.03491749998648,82.03491749998648,82.53585549996933,315,45,82.53585549996933,82.53585549996933,82.53585549996933,82.53585549996933,82.53585549996933,82.53585549996933,82.53585549996933,82.53585549996933,82.53585549996933,82.88574100000551,82.88574100000551,82.88574100000551,82.88574100000551,82.88574100000551,82.88574100000551,82.88574100000551,82.88574100000551,82.88574100000551,22,0,,,82.88574100000551,83.08585269999458,4.9,83.10245179996127,1,4.9,1,1,1000,num_4,0.4785400999826379,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,6.1,6.1,0,0,10,10,51,,,,,83.6029860000126,84.25377630000003,84.25377630000003,84.7382149999612,315,45,84.7382149999612,84.7382149999612,84.7382149999612,84.7382149999612,84.7382149999612,84.7382149999612,84.7382149999612,84.7382149999612,84.7382149999612,85.10477829998126,85.10477829998126,85.10477829998126,85.10477829998126,85.10477829998126,85.10477829998126,85.10477829998126,85.10477829998126,85.10477829998126,23,0,,,85.10477829998126,85.30486819997896,6.1,85.30486819997896,1,6.1,1,1,1000,num_4,0.47576929995557293,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,0.0,0.0,0,0,11,11,49,,,,,85.8052386000054,86.45601919997716,86.45601919997716,86.94043899996905,315,315,86.94043899996905,86.94043899996905,86.94043899996905,86.94043899996905,86.94043899996905,86.94043899996905,86.94043899996905,86.94043899996905,86.94043899996905,87.30679770000279,87.30679770000279,87.30679770000279,87.30679770000279,87.30679770000279,87.30679770000279,87.30679770000279,87.30679770000279,87.30679770000279,23,0,,,87.30679770000279,87.51257469999837,0.0,87.51257469999837,0,0.0,0,1,1000,num_1,0.5397286000079475,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,0.0,4.9,1,0,12,12,65,,,,,88.07417829998303,88.72492159996182,88.72492159996182,89.20909550000215,45,45,89.20909550000215,89.20909550000215,89.20909550000215,89.20909550000215,89.20909550000215,89.20909550000215,89.20909550000215,89.20909550000215,89.20909550000215,89.57576639996842,89.57576639996842,89.57576639996842,89.57576639996842,89.57576639996842,89.57576639996842,89.57576639996842,89.57576639996842,89.57576639996842,21,1,[0.0012494000256992877],[0.03339970001252368],89.57576639996842,89.77601410000352,4.9,89.77601410000352,1,4.9,1,1,1000,num_4,0.5166276000090875,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1,0,0.0,0.0,1,0,13,13,53,,,,,90.30977900000289,90.96041210001567,90.96041210001567,91.44480519997887,315,45,91.44480519997887,91.44480519997887,91.44480519997887,91.44480519997887,91.44480519997887,91.44480519997887,91.44480519997887,91.44480519997887,91.44480519997887,91.81135169998743,91.81135169998743,91.81135169998743,91.81135169998743,91.81135169998743,91.81135169998743,91.81135169998743,91.81135169998743,91.81135169998743,13,3,"[0.0013043999788351357, 0.16696879995288327, 0.23351729998830706]","[0.11684410000452772, 0.20024679997004569, 0.25012909999350086]",91.81135169998743,92.01146750000771,0.0,92.01146750000771,0,0.0,0,1,1000,num_1,0.3209521000389941,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
1000,1,0.0,3.7,1,0,14,14,75,,,,,92.3617945999722,93.01251119998051,93.01251119998051,93.49686020001536,45,45,93.49686020001536,93.49686020001536,93.49686020001536,93.49686020001536,93.49686020001536,93.49686020001536,93.49686020001536,93.49686020001536,93.49686020001536,93.86322609998751,93.86322609998751,93.86322609998751,93.86322609998751,93.86322609998751,93.86322609998751,93.86322609998751,93.86322609998751,93.86322609998751,23,0,,,93.86322609998751,94.06335219996981,1000,94.06335219996981,1000,1000,1000,1000,0,num_3,0.7248221999616362,,28,8,2026-03-05_16h09.44.963,2026A_exp2,2022.2.4,59.83838848974379,
