validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1000,1,0.0,0.0,0,0,0,0,7,3.2400013878941536e-05,3.2400013878941536e-05,47.94413359998725,49.94666910008527,49.94666910008527,50.581084500066936,50.581084500066936,51.10395450005308,45,315,51.10395450005308,51.10395450005308,51.10395450005308,51.10395450005308,51.10395450005308,51.10395450005308,51.10395450005308,51.10395450005308,51.10395450005308,51.44851600006223,51.44851600006223,51.44851600006223,51.44851600006223,51.44851600006223,51.44851600006223,51.44851600006223,51.44851600006223,51.44851600006223,0,1,[0.0009171001147478819],[0.36740270000882447],51.44851600006223,51.65563079994172,1000,51.65563079994172,1000,1000,1000,1000,0,num_3,0.5290496998932213,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1000,1,0.0,0.0,1,0,1,1,3,,,,,52.21614659996703,52.86645109998062,52.86645109998062,53.35082729998976,45,315,53.35082729998976,53.35082729998976,53.35082729998976,53.35082729998976,53.35082729998976,53.35082729998976,53.35082729998976,53.35082729998976,53.35082729998976,53.71747469995171,53.71747469995171,53.71747469995171,53.71747469995171,53.71747469995171,53.71747469995171,53.71747469995171,53.71747469995171,53.71747469995171,0,1,[0.001242700032889843],[0.3670514998957515],53.71747469995171,53.917748800013214,1000,53.917748800013214,1000,1000,1000,1000,1,num_2,0.24230869999155402,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
0,0,3.7,4.9,0,0,2,2,77,,,,,54.184565500123426,54.8352034999989,54.8352034999989,55.33641170011833,45,45,55.33641170011833,55.33641170011833,55.33641170011833,55.33641170011833,55.33641170011833,55.33641170011833,55.33641170011833,55.33641170011833,55.33641170011833,55.70275960001163,55.70275960001163,55.70275960001163,55.70275960001163,55.70275960001163,55.70275960001163,55.70275960001163,55.70275960001163,55.70275960001163,0,1,[0.001238199882209301],[0.367163100047037],55.70275960001163,55.90298709995113,4.9,55.90298709995113,1,4.9,1,1,1000,num_4,0.569608099758625,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1000,1,0.0,6.1,0,0,3,3,16,,,,,56.50356879993342,57.15439929999411,57.15439929999411,57.63857439998537,315,45,57.63857439998537,57.63857439998537,57.63857439998537,57.63857439998537,57.63857439998537,57.63857439998537,57.63857439998537,57.63857439998537,57.63857439998537,58.00508529995568,58.00508529995568,58.00508529995568,58.00508529995568,58.00508529995568,58.00508529995568,58.00508529995568,58.00508529995568,58.00508529995568,0,1,[0.0012799999676644802],[0.3670594000723213],58.00508529995568,58.20680289994925,1000,58.20680289994925,1000,1000,1000,1000,1,num_2,0.4903529998846352,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1,0,0.0,6.1,1,0,4,4,46,,,,,58.72240340011194,59.37306510005146,59.37306510005146,59.87406580010429,45,315,59.87406580010429,59.87406580010429,59.87406580010429,59.87406580010429,59.87406580010429,59.87406580010429,59.87406580010429,59.87406580010429,59.87406580010429,60.24031880008988,60.24031880008988,60.24031880008988,60.24031880008988,60.24031880008988,60.24031880008988,60.24031880008988,60.24031880008988,60.24031880008988,7,1,[0.11687040003016591],[0.3669018999207765],60.24031880008988,60.44089980004355,6.1,60.44089980004355,1,6.1,1,1,1000,num_4,0.5353348997887224,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1000,1,0.0,0.0,0,0,5,5,72,,,,,61.00801660004072,61.65860059997067,61.65860059997067,62.143129399977624,315,45,62.143129399977624,62.143129399977624,62.143129399977624,62.143129399977624,62.143129399977624,62.143129399977624,62.143129399977624,62.143129399977624,62.143129399977624,62.50956630008295,62.50956630008295,62.50956630008295,62.50956630008295,62.50956630008295,62.50956630008295,62.50956630008295,62.50956630008295,62.50956630008295,22,1,[0.03373960009776056],[0.05029699997976422],62.50956630008295,62.7095602999907,1000,62.7095602999907,1000,1000,1000,1000,0,num_3,0.39533989992924035,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1000,1,6.1,4.9,0,0,6,6,81,,,,,63.129379800055176,63.781516999937594,63.781516999937594,64.27860429999419,45,315,64.27860429999419,64.27860429999419,64.27860429999419,64.27860429999419,64.27860429999419,64.27860429999419,64.27860429999419,64.27860429999419,64.27860429999419,64.6451103000436,64.6451103000436,64.6451103000436,64.6451103000436,64.6451103000436,64.6451103000436,64.6451103000436,64.6451103000436,64.6451103000436,18,1,[0.30035499995574355],[0.3670840999111533],64.6451103000436,64.84505459992215,1000,64.84505459992215,1000,1000,1000,1000,0,num_3,0.20347869978286326,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1,0,0.0,0.0,1,0,7,7,38,,,,,65.07882519997656,65.72945159999654,65.72945159999654,66.23055099998601,315,45,66.23055099998601,66.23055099998601,66.23055099998601,66.23055099998601,66.23055099998601,66.23055099998601,66.23055099998601,66.23055099998601,66.23055099998601,66.58032279997133,66.58032279997133,66.58032279997133,66.58032279997133,66.58032279997133,66.58032279997133,66.58032279997133,66.58032279997133,66.58032279997133,0,1,[0.0011972000356763601],[0.350689799990505],66.58032279997133,66.78041180013679,0.0,66.78041180013679,1,0.0,0,0,1000,num_4,0.8517193000297993,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1000,1,0.0,0.0,0,0,8,8,89,,,,,67.64808190008625,68.29867410007864,68.29867410007864,68.78313240013085,315,315,68.78313240013085,68.78313240013085,68.78313240013085,68.78313240013085,68.78313240013085,68.78313240013085,68.78313240013085,68.78313240013085,68.78313240013085,69.14970299997367,69.14970299997367,69.14970299997367,69.14970299997367,69.14970299997367,69.14970299997367,69.14970299997367,69.14970299997367,69.14970299997367,0,1,[0.0012280999217182398],[0.36680789990350604],69.14970299997367,69.35154350008816,1000,69.35154350008816,1000,1000,1000,1000,0,num_3,0.43284719972871244,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
1,0,0.0,4.9,0,0,9,9,32,,,,,69.80011199996807,70.45088970009238,70.45088970009238,70.95208560000174,45,45,70.95208560000174,70.95208560000174,70.95208560000174,70.95208560000174,70.95208560000174,70.95208560000174,70.95208560000174,70.95208560000174,70.95208560000174,71.31819949997589,71.31819949997589,71.31819949997589,71.31819949997589,71.31819949997589,71.31819949997589,71.31819949997589,71.31819949997589,71.31819949997589,15,3,"[0.0012423999141901731, 0.26682420005090535, 0.33340050000697374]","[0.06656510010361671, 0.28327189991250634, 0.36686170008033514]",71.31819949997589,71.51861390005797,0.0,71.51861390005797,0,0.0,0,1,1000,num_1,0.7384375997353345,,33,13,2026-03-12_18h22.39.240,2026A_exp2,2022.2.4,59.95725047597206,
