contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
35.3,45,-1,0,0,0,0,6,16.446556000000783,16.446556000000783,16.930422600000384,16.997503500000676,17.057178300001397,17.057178300001397,17.057178300001397,17.057178300001397,17.09723860000122,17.09723860000122,17.09723860000122,17.09723860000122,17.09723860000122,17.09723860000122,17.114028200001485,17.114028200001485,17.114028200001485,left,1.49673360000088,18.632283900000402,18.632283900000402,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
12.1,45,1,1,0,1,1,54,18.632283900000402,18.632283900000402,19.132966600000145,19.1996663000009,19.24993590000122,19.24993590000122,19.24993590000122,19.24993590000122,19.299671800001306,19.299671800001306,19.299671800001306,19.299671800001306,19.299671800001306,19.299671800001306,19.299671800001306,19.299671800001306,19.299671800001306,left,1.398914600000353,20.718214600001374,20.718214600001374,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
22.7,315,1,0,0,2,2,30,20.718214600001374,20.718214600001374,21.218323400000372,21.284965400000146,21.335364700000355,21.335364700000355,21.335364700000355,21.335364700000355,21.38516090000121,21.38516090000121,21.38516090000121,21.38516090000121,21.38516090000121,21.38516090000121,21.38516090000121,21.38516090000121,21.38516090000121,left,1.4740033999987645,22.886523700000907,22.886523700000907,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
42.7,315,-1,1,0,3,3,53,22.886523700000907,22.886523700000907,23.387273900001674,23.453917400000137,23.50415300000168,23.50415300000168,23.50415300000168,23.50415300000168,23.554028800001106,23.554028800001106,23.554028800001106,23.554028800001106,23.554028800001106,23.554028800001106,23.554028800001106,23.554028800001106,23.554028800001106,left,1.0810677999998006,24.655136700001094,24.655136700001094,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
42.7,45,1,-1,0,4,4,98,24.655136700001094,24.655136700001094,25.156069300001036,25.22247570000036,25.272709400000167,25.272709400000167,25.272709400000167,25.272709400000167,25.322551000001113,25.322551000001113,25.322551000001113,25.322551000001113,25.322551000001113,25.322551000001113,25.322551000001113,25.322551000001113,25.322551000001113,right,1.4807351999988896,26.823804700001347,26.823804700001347,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
22.7,45,1,0,0,5,5,21,26.823804700001347,26.823804700001347,27.32445430000007,27.391192900000533,27.44145110000136,27.44145110000136,27.44145110000136,27.44145110000136,27.49126940000133,27.49126940000133,27.49126940000133,27.49126940000133,27.49126940000133,27.49126940000133,27.49126940000133,27.49126940000133,27.49126940000133,left,0.9433490999999776,28.458776500001477,28.458776500001477,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
22.7,45,1,1,0,6,6,57,28.458776500001477,28.458776500001477,28.959407199999987,29.026130500000363,29.0764203000017,29.0764203000017,29.0764203000017,29.0764203000017,29.126236600000993,29.126236600000993,29.126236600000993,29.126236600000993,29.126236600000993,29.126236600000993,29.126236600000993,29.126236600000993,29.126236600000993,left,0.9734091999998782,30.12710700000025,30.12710700000025,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
15.7,45,-1,-1,0,7,7,73,30.12710700000025,30.12710700000025,30.62787380000009,30.694362200001706,30.744533100001718,30.744533100001718,30.744533100001718,30.744533100001718,30.794892300000356,30.794892300000356,30.794892300000356,30.794892300000356,30.794892300000356,30.794892300000356,30.794892300000356,30.794892300000356,30.794892300000356,left,15.007497999999032,45.8259332000016,45.8259332000016,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
29.4,45,-1,1,0,8,8,41,45.8259332000016,45.8259332000016,46.32649890000175,46.393245400000524,46.44355180000093,46.44355180000093,46.44355180000093,46.44355180000093,46.49326210000072,46.49326210000072,46.49326210000072,46.49326210000072,46.49326210000072,46.49326210000072,46.49326210000072,46.49326210000072,46.49326210000072,right,0.8536927000004653,47.37801010000112,47.37801010000112,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
39.2,315,-1,-1,0,9,9,88,47.37801010000112,47.37801010000112,47.878337699999975,47.944913900000756,47.995132700001705,47.995132700001705,47.995132700001705,47.995132700001705,48.045118,48.045118,48.045118,48.045118,48.045118,48.045118,48.045118,48.045118,48.045118,left,0.6301144000008208,48.69577880000179,48.69577880000179,None,,7,001,2025-12-17_15h05.53.213,2025C_exp1_comp,2022.2.4,60.003624219431245,
